CRN,MStartTime,MEndTime,TStartTime,TEndTime,WStartTime,WEndTime,RStartTime,REndTime,FStartTime,FEndTime,Code,Instructor
20001,,,,,,,1030,1080,,,AAS 010,"Williams, A"
20001,,,540,620,,,540,620,,,AAS 010,"Williams, A"
20002,,,540,620,,,540,620,,,AAS 010,"Williams, A"
20002,,,,,,,1090,1140,,,AAS 010,"Williams, A"
52915,,,1090,1170,,,1090,1170,,,AAS 015,4.0
52915,,,,,970,1020,,,,,AAS 015,4.0
52916,,,,,1030,1080,,,,,AAS 015,4.0
52916,,,1090,1170,,,1090,1170,,,AAS 015,4.0
52917,,,1090,1170,,,1090,1170,,,AAS 015,4.0
52917,,,,,1090,1140,,,,,AAS 015,4.0
52918,,,1090,1170,,,1090,1170,,,AAS 015,4.0
52918,,,,,1150,1200,,,,,AAS 015,4.0
20003,,,730,840,,,730,840,,,AAS 016,"Mukiibi, E"
52913,,,630,710,,,630,710,,,AAS 053,"Harrison, M"
52913,,,1030,1080,,,,,,,AAS 053,"Harrison, M"
52914,,,1090,1140,,,,,,,AAS 053,"Harrison, M"
52914,,,630,710,,,630,710,,,AAS 053,"Harrison, M"
@,,,,,,,,,,,AAS 099,The Staff
20018,850,960,,,850,960,,,,,AAS 107A,"Ng'weno, B"
53548,600,710,,,600,710,,,,,AAS 107C,"Ng'weno, B"
52919,730,840,,,730,840,,,,,AAS 110,"Adejunmobi, M"
52920,970,1080,,,970,1080,,,,,AAS 111,"Adejunmobi, M"
52922,,,970,1080,,,970,1080,,,AAS 123,"Mukiibi, E"
@,,,,,,,,,,,AAS 192,The Staff
@,,,,,,,,,,,AAS 197T,The Staff
@,,,,,,,,,,,AAS 198,The Staff
@,,,,,,,,,,,AAS 199,The Staff
@,,,,,,,,,,,AAS 298A,The Staff
@,,,,,,,,,,,AAS 298B,The Staff
@,,,,,,,,,,,AAS 299,The Staff
20617,970,1020,,,,,,,,,AGC 290,"Poulin, B"
20618,,,,,970,1080,,,,,AGC 290,"Anastasio, C"
@,,,,,,,,,,,AGC 298,The Staff
@,,,,,,,,,,,AGC 299,The Staff
22402,1090,1200,,,1090,1200,,,,,ARE 018,"Lyon, E"
@,,,,,,,,,,,ARE 098,The Staff
@,,,,,,,,,,,ARE 099,The Staff
22485,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22485,,,1090,1140,,,,,,,ARE 100A,"Novan, K"
22486,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22486,,,1150,1200,,,,,,,ARE 100A,"Novan, K"
22487,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22487,,,,,1090,1140,,,,,ARE 100A,"Novan, K"
22488,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22488,,,,,1150,1200,,,,,ARE 100A,"Novan, K"
22489,,,,,1030,1080,,,,,ARE 100A,"Novan, K"
22489,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22490,,,540,620,,,540,620,,,ARE 100A,"Novan, K"
22490,,,,,1090,1140,,,,,ARE 100A,"Novan, K"
22491,,,540,620,,,540,620,,,ARE 100A,"Merel, P"
22491,,,1030,1080,,,,,,,ARE 100A,"Merel, P"
22492,,,1090,1140,,,,,,,ARE 100A,"Merel, P"
22492,,,540,620,,,540,620,,,ARE 100A,"Merel, P"
22493,,,1150,1200,,,,,,,ARE 100A,"Merel, P"
22493,,,540,620,,,540,620,,,ARE 100A,"Merel, P"
