Name,Department,Rating,# of Ratings,% Would Take Again,Difficulty,Link to Page
Robert Borgen,Languages,3.3,39 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=9566
Aram Yengoyan,Anthropology,2.6,47 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=9568
Patrick Carroll-Burke,Social Science,3.2,13 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=9570
Henry McHenry,Anthropology,4.5,124 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=13481
Susan Sawyer,Anthropology,2.7,58 ratings,75%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=16257
Michelle Igo,Science,2.4,77 ratings,30%,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=19657
Peter Rodman,Anthropology,3.8,73 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=22230
Bill Hagen,History,2.5,45 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24181
Charles Walker,History,4.4,37 ratings,0%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24182
Lynn Roller,Art & Art History,3.3,76 ratings,40%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24183
Stylianos Spyridakis,History,4.6,188 ratings,84%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24184
Susan Mann,History,3.8,22 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24185
Alan S. Taylor,History,4.1,77 ratings,N/A,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24188
Liz Applegate,Nutrition,4.2,257 ratings,78%,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=35126
Ted Margadant,History,3.9,54 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=35658
Nancy True,Chemistry,2.9,118 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=36796
Clarence Walker,History,4.2,36 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=37787
Emily Albu,Classics,4.3,63 ratings,80%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=39097
Randolph Siverson,Political Science,3.8,91 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=39349
Virginia Creveling,Communication,4.8,66 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=41541
Matthew Augustine,Chemistry,4.1,190 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=42326
Brian Sala,Political Science,3.7,36 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=45957
Noah Guynn,Humanities,4.4,54 ratings,67%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=46588
Vu Pham,Engineering,3.6,27 ratings,100%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=46591
Larry Peterman,Political Science,3.9,40 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=54204
Bill Hing,Asian Studies,4.5,43 ratings,N/A,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=54326
Richard Robins,Psychology,4.1,18 ratings,100%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=56768
Michael Wedin,Philosophy,3.4,25 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=57557
Rod Cole,Science,4.1,77 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=59152
Thomas Chance,Languages,3.5,20 ratings,100%,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=59539
Charles Hammond,History,4,18 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=59687
Atul Parikh,Engineering,2.8,18 ratings,100%,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=59949
Rory Kinoshita,Mathematics,4.3,3 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=63530
Karen Shimakawa,Asian Studies,3.8,24 ratings,100%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=64467
Mark Kurth,Science,2.6,74 ratings,100%,4.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=68751
